"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage""Inbetriebnahmedatum der KWK-Anlage""Elektrische KWK-Leistung""Thermische Nutzleistung in kW"
"SEE925626575339";"LAWIN";"In Betrieb";"Wind";"500";"500";"24.9.1997";"4.2.2019";"Rheinland-Pfalz";"57520";"Langenbach";"";"";"Langenbach";"Flur 14, Flurstück 29/1";"07143253";"50,705";"7,9496";"";"";"Langenbach";"65";"40,3";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"8.3.2020";"";"";"Alternative Energie Kroppacher Schweiz GmbH & Co. KG";"ABR927900758889";"Volleinspeisung";"";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Mittelspannung";"SEL997864824722";"EEG999247845546";"E31102010000000000001274404200001";"1.1.2000";"";""""""""
"SEE901931856097";"MÜWI";"In Betrieb";"Wind";"2000";"2000";"19.6.2006";"4.2.2019";"Rheinland-Pfalz";"56271";"Mündersbach";"";"";"Mündersbach";"Flur 27, Flurstücke 4025, 4027, 4026, 4027";"07143268";"50,608";"7,7597";"";"";"Hartenfelser Kopf";"113,5";"71";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"28.5.2019";"";"";"Alternative Energie Kroppacher Schweiz GmbH & Co. KG";"ABR927900758889";"Volleinspeisung";"SGE903253300425";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL914558913739";"EEG987793822708";"E31102010000000000002000249400012";"19.6.2006";"";""""""""
"SEE933298149512";"ALWIN";"In Betrieb";"Wind";"500";"500";"13.8.1998";"4.2.2019";"Rheinland-Pfalz";"57642";"Alpenrod";"";"";"Alpenrod";"Flur 7, Flurstück 48";"07143202";"50,6196";"7,8544";"";"";"Alpenrod";"65";"40,3";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"8.3.2020";"";"";"Alternative Energie Kroppacher Schweiz GmbH & Co. KG";"ABR927900758889";"Volleinspeisung";"";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Mittelspannung";"SEL993987048472";"EEG940971960685";"E31102010000000000001008269700002";"1.1.2000";"";""""""""
"SEE939178441813";"ALWINE";"In Betrieb";"Wind";"600";"600";"22.9.2000";"4.2.2019";"Rheinland-Pfalz";"57642";"Alpenrod";"";"";"Alpenrod";"Flur 7, Flurstück 48";"07143202";"50,6208";"7,8527";"";"";"Alpenrod";"65";"44";"ENERCON GmbH";"E-40/6.44 E1";"";"";"Horizontalläufer";"Windkraft an Land";"9.8.2019";"";"";"Alternative Energie Kroppacher Schweiz GmbH & Co. KG";"ABR927900758889";"Volleinspeisung";"";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Mittelspannung";"SEL993987048472";"EEG963560530465";"E31102010000000000001008269700003";"22.9.2000";"";""""""""
"SEE974771267460";"824599";"In Betrieb";"Wind";"2300";"2300";"26.10.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 66-1/64";"07339201";"49,756982";"8,287872";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE968776524703";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG947578358075";"E31238010000000000000020589068577";"26.10.2012";"";""""""""
"SEE968993430085";"824600";"In Betrieb";"Wind";"2300";"2300";"8.11.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 94/95";"07339201";"49,754797";"8,28932";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE955293194212";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG920462060117";"E31238010000000000000020589068578";"8.11.2012";"";""""""""
"SEE978136874560";"824601";"In Betrieb";"Wind";"2300";"2300";"16.11.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 81/82/83";"07339201";"49,758067";"8,293269";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE968776524703";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG947997616138";"E31238010000000000000020589068585";"16.11.2012";"";""""""""
"SEE997498719197";"824602";"In Betrieb";"Wind";"2300";"2300";"2.12.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 88/89";"07339201";"49,755851";"8,293995";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE968776524703";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG919581380220";"E31238010000000000000020589068580";"2.12.2012";"";""""""""
"SEE983113710526";"824603";"In Betrieb";"Wind";"2300";"2300";"13.12.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 126/127";"07339201";"49,755387";"8,277112";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE968776524703";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG937580765923";"E31238010000000000000020589038553";"13.12.2012";"";""""""""
"SEE911738888108";"824604";"In Betrieb";"Wind";"2300";"2300";"14.12.2012";"5.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 7 Flurstück 20/21";"07339201";"49,749585";"8,283978";"";"";"Windpark Dorn-Dürkheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE968776524703";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG997204947593";"E31238010000000000000020589068581";"14.12.2012";"";""""""""
"SEE993514819834";"825053";"In Betrieb";"Wind";"2300";"2300";"18.4.2013";"5.2.2019";"Rheinland-Pfalz";"67596";"Dittelsheim-Heßloch";"";"";"Dittelsheim-Heßloch";"Flur 10 Flurstück 75";"07331015";"49,75404";"8,271404";"";"";"Windpark Dittelsheim-Heßloch";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Dittelsheim-Heßloch GmbH & Co.KG";"ABR979937884185";"Volleinspeisung";"SGE919822171228";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG984670597742";"E31238010000000000000020589068583";"18.4.2013";"";""""""""
"SEE939238240615";"825054";"In Betrieb";"Wind";"2300";"2300";"11.3.2013";"5.2.2019";"Rheinland-Pfalz";"67596";"Dittelsheim-Heßloch";"";"";"Dittelsheim-Heßloch";"Flur 10 Flurstück 111,112";"07331015";"49,751951";"8,272588";"";"";"Windpark Dittelsheim-Heßloch";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Dittelsheim-Heßloch GmbH & Co.KG";"ABR979937884185";"Volleinspeisung";"SGE919822171228";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG922959458315";"E31238010000000000000020589068575";"11.3.2013";"";""""""""
"SEE919983601206";"825055";"In Betrieb";"Wind";"2300";"2300";"8.2.2013";"5.2.2019";"Rheinland-Pfalz";"67596";"Dittelsheim-Heßloch";"";"";"Dittelsheim-Heßloch";"Flur 10 Flurstück 108/3";"07331015";"49,750232";"8,274486";"";"";"Windpark Dittelsheim-Heßloch";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Dittelsheim-Heßloch GmbH & Co.KG";"ABR979937884185";"Volleinspeisung";"SGE919822171228";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG906810741389";"E31238010000000000000020589068579";"8.2.2013";"";""""""""
"SEE949376230058";"825056";"In Betrieb";"Wind";"2300";"2300";"30.1.2013";"5.2.2019";"Rheinland-Pfalz";"67596";"Dittelsheim-Heßloch";"";"";"Dittelsheim-Heßloch";"Flur 10 Flurstück 163";"07331015";"49,747944";"8,275065";"";"";"Windpark Dittelsheim-Heßloch";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Dittelsheim-Heßloch GmbH & Co.KG";"ABR979937884185";"Volleinspeisung";"SGE919822171228";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG992139256918";"E31238010000000000000020589068576";"30.1.2013";"";""""""""
"SEE927344511514";"825356";"In Betrieb";"Wind";"2300";"2300";"2.9.2013";"5.2.2019";"Rheinland-Pfalz";"67577";"Alsheim";"";"";"Alsheim";"Flur 36 Flurstück 25,26";"07331002";"49,750218";"8,289635";"";"";"Windpark Alsheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Alsheim GmbH & Co.KG";"ABR982102436515";"Volleinspeisung";"SGE992276531374";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG908011842933";"E31238010000000000000020589068587";"2.9.2013";"";""""""""
"SEE947323024392";"825357";"In Betrieb";"Wind";"2300";"2300";"6.9.2013";"5.2.2019";"Rheinland-Pfalz";"67577";"Alsheim";"";"";"Alsheim";"Flur 36 Flurstück 13";"07331002";"49,753074";"8,293326";"";"";"Windpark Alsheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Alsheim GmbH & Co.KG";"ABR982102436515";"Volleinspeisung";"SGE992276531374";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG991217839692";"E31238010000000000000020589068584";"6.9.2013";"";""""""""
"SEE986129931039";"825358";"In Betrieb";"Wind";"2300";"2300";"26.9.2013";"5.2.2019";"Rheinland-Pfalz";"67577";"Alsheim";"";"";"Alsheim";"Flur 36 Flurstück 19/20";"07331002";"49,750967";"8,296351";"";"";"Windpark Alsheim";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"4.9.2020";"";"";"Windpark Alsheim GmbH & Co.KG";"ABR982102436515";"Volleinspeisung";"SGE992276531374";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG940840240405";"E31238010000000000000020589068582";"26.9.2013";"";""""""""
"SEE960974148347";"E531559 - KEB";"In Betrieb";"Wind";"800";"800";"19.12.2013";"5.2.2019";"Rheinland-Pfalz";"56370";"Berndroth";"";"";"Berndroth";"Flur 1, Flurstück 29";"07141011";"50,246624";"7,97376";"";"";"Windpark Katzenelnbogen";"73";"53";"ENERCON GmbH";"E-53";"";"";"Horizontalläufer";"Windkraft an Land";"19.4.2021";"";"";"WEAG Windkraft Berndroth GmbH";"ABR927425602001";"Volleinspeisung";"SGE980415865923";"Syna GmbH (SNB918250928893)";"SNB918250928893";"Geprüft";"Mittelspannung";"SEL989550559261";"EEG995004307357";"E31495010000000000060235572900000";"20.12.2013";"";""""""""
"SEE955357427270";"KLP14_496142";"In Betrieb";"Wind";"600";"600";"9.6.1999";"5.2.2019";"Rheinland-Pfalz";"55234";"Gau-Heppenheim";"";"";"Gau-Heppenheim";"Flur 148 Flurstück 3,5";"07331031";"49,738404";"8,19873";"";"";"Windpark Kloppberg";"77,5";"43";"Nordex Energy GmbH";"N43/600";"";"";"Horizontalläufer";"Windkraft an Land";"8.6.2021";"";"";"ABO Wind WP Windsberg GmbH & Co. KG";"ABR912647149922";"Volleinspeisung";"SGE969038660658";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL905252399264";"EEG978049401617";"E32954010200000000003616500511199";"9.6.1999";"";""""""""
"SEE905967482589";"44396";"In Betrieb";"Wind";"3000";"3000";"9.2.2012";"5.2.2019";"Rheinland-Pfalz";"67550";"Worms";"";"";"Abenheim";"Flur 10 Flurstück 41/1";"07319000";"49,658572";"8,286653";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Abenheim GmbH & Co.KG";"ABR983684365019";"Volleinspeisung";"SGE961637976079";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG963271489182";"E32954010200000000001600317015568";"9.2.2012";"";""""""""
"SEE931770753134";"44397";"In Betrieb";"Wind";"3000";"3000";"24.1.2012";"5.2.2019";"Rheinland-Pfalz";"67550";"Worms";"";"";"Abenheim";"Flur 9 Flurstück 90";"07319000";"49,65902";"8,291696";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Abenheim GmbH & Co.KG";"ABR983684365019";"Volleinspeisung";"SGE967168115260";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG965129622932";"E32954010200000000001600317015566";"24.1.2012";"";""""""""
"SEE999732809190";"44398";"In Betrieb";"Wind";"3000";"3000";"29.12.2011";"5.2.2019";"Rheinland-Pfalz";"67550";"Worms";"";"";"Herrnsheim";"Flur 10 Flurstück 143";"07319000";"49,660986";"8,299842";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Herrnsheim GmbH & Co.KG";"ABR971074220406";"Volleinspeisung";"SGE900744516181";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG962134049402";"E32954010200000000001600317015569";"29.12.2011";"";""""""""
"SEE901778978266";"44399";"In Betrieb";"Wind";"3000";"3000";"22.2.2012";"5.2.2019";"Rheinland-Pfalz";"67550";"Worms";"";"";"Herrnsheim";"Flur 9 Flurstück 56";"07319000";"49,657308";"8,301973";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Herrnsheim GmbH & Co.KG";"ABR971074220406";"Volleinspeisung";"SGE914778788902";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG947642014302";"E32954010200000000001600317015563";"22.2.2012";"";""""""""
"SEE997523930887";"44393";"In Betrieb";"Wind";"3000";"3000";"13.1.2012";"5.2.2019";"Rheinland-Pfalz";"67551";"Worms";"";"";"Pfeddersheim";"Flur 20 Flurstück 110";"07319000";"49,649227";"8,271765";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Pfeddersheim GmbH & Co.KG";"ABR944017204559";"Volleinspeisung";"SGE979050676261";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG987014842799";"E32954010200000000001600317015564";"13.1.2012";"";""""""""
"SEE985636331707";"44394";"In Betrieb";"Wind";"3000";"3000";"9.2.2012";"5.2.2019";"Rheinland-Pfalz";"67551";"Worms";"";"";"Pfeddersheim";"Flur 21 Flurstück 3/376";"07319000";"49,652306";"8,280835";"";"";"Windpark Worms II";"119";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.7.2021";"";"";"Windpark Pfeddersheim GmbH & Co.KG";"ABR944017204559";"Volleinspeisung";"SGE923260317520";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928659263242";"EEG963458508323";"E32954010200000000001600317015567";"9.2.2012";"";""""""""
